Date,Sharpe_Return,Equal_Weight_Return
2026-01-02,0.0,0.0
2026-01-05,-0.002708756826393821,-0.003304678597411681
2026-01-06,-0.004061211428633915,0.00702920686476749
2026-01-07,0.0005544849302716592,0.004821536927780201
2026-01-08,0.009104712350265887,0.006816776202788644
2026-01-09,0.028758461845014738,0.011691686664168977
2026-01-12,0.028933479214379165,0.014717295438148259
2026-01-13,0.054147017549678544,0.021207782675346065
2026-01-14,0.05754901967372916,0.02373926917239899
2026-01-15,0.058260524457035556,0.02993459876881488
2026-01-16,0.0511938984307263,0.02489347678751974
2026-01-19,0.0403886936019191,0.027181496099676572
2026-01-20,0.026985858719854816,0.02052424986350876
2026-01-21,0.02544101853362024,0.017961359595553228
2026-01-22,0.026104183595830666,0.023287400893852395
2026-01-23,0.030089664753096823,0.026096720736422885
2026-01-26,0.030587552978462274,0.024484689066843313
2026-01-27,0.03698676432629755,0.02821599618978876
2026-01-28,0.03888827169799258,0.033592414274003835
2026-01-29,0.027519702937527146,0.02793847169956787
2026-01-30,0.02608527845012909,0.02340203080682568
2026-02-03,0.017020299144310913,0.015199778207823478
2026-02-04,0.011035500593273406,0.01577289226110401
2026-02-05,0.014329055598617968,0.01646592661099522
2026-02-06,-0.004077871812991463,0.005981850107922293
2026-02-09,0.003622405373580051,0.01407863077033511
2026-02-10,0.013498832782391279,0.019379981363309318
2026-02-11,0.016977030133422,0.01795241239632972
2026-02-12,0.015437484455397943,0.01945964628053498
2026-02-13,0.015271861298848943,0.019265666370519297
2026-02-16,0.025194964540179665,0.022391611959313718
2026-02-19,0.025043319302736622,0.03128203597678314
2026-02-20,0.024173548964962155,0.03246292598030931
2026-02-23,0.029040813867485138,0.03656550082952914
2026-02-24,0.030935824241736798,0.03526580582694683
2026-02-25,0.02346155141200823,0.03425610178500338
2026-02-26,0.03024304205475814,0.03694914362649393
2026-02-27,0.027914062128965522,0.03704091711743129
2026-03-02,0.010103696994630429,0.019552282069184468
2026-03-03,0.010754384813113527,0.01888151731419807
2026-03-04,0.014579579571296408,0.018586270472346733
2026-03-05,0.015020879343858207,0.01271989218111913
2026-03-06,0.0019357145505480844,0.004768502214484549
2026-03-09,-0.013406120506524899,-0.012909810287231815
2026-03-10,-0.00565846302218409,-0.014091255321568186
2026-03-11,0.007208428161074254,-0.0010676919217513792
2026-03-12,0.008577184441246777,0.00100838093932909
2026-03-13,0.01775679166816002,-0.0003014146401373319
2026-03-16,0.00516115242787496,-0.002645132911885284
2026-03-17,0.00981626947596359,-0.004574873411645863
2026-03-18,0.021074234147824278,0.0022871412551221937
2026-03-19,0.022992169231698556,0.006854745730335177
2026-03-20,0.027905368089766958,0.009557157530740934
2026-03-24,0.02269231881349043,0.005019153716693925
2026-03-25,0.009334332429476122,-0.00556720414936529
2026-03-26,0.009170851244346911,-0.006093660052546079
2026-03-27,0.008990147077592825,-0.0040366616392212284
2026-03-30,0.004334345880055546,-0.009772301774931158
2026-03-31,-0.008449545278702342,-0.02313087285293225
2026-04-01,0.0007204582571536111,-0.012774294171066347
2026-04-02,0.014972113921269958,-0.006263711369995928
2026-04-03,0.0017443831652792507,-0.010007633140301953
2026-04-06,-0.00017716471974604797,-0.010395249775858706
2026-04-07,-0.0008227833180814992,-0.016759464323466422
2026-04-08,0.001847776309938709,-0.012744729420557155
2026-04-09,0.0031404667224899097,-0.008897003171431606
2026-04-10,0.004442132690794631,-0.008634556743571276
2026-04-13,0.008468603887039405,-0.007523843419695364
2026-04-14,0.0058817722860455834,-0.0058331617991272955
2026-04-15,0.009259312967617284,-0.0007646411427013611
2026-04-16,0.015094346865792696,0.002234587635837615
2026-04-17,0.021271626675825273,0.007286344543081302
2026-04-20,0.02626149898193697,0.011140299204878579
2026-04-21,0.02818061352689405,0.009250826212682695
