Date,1015.KL,2089.KL,3301.KL,3565.KL,4286.KL,5041.KL,5053.KL,5056.KL,5151.KL,5211.KL,5247.KL,5249.KL,5271.KL,5273.KL,5878.KL,6432.KL,6459.KL,7004.KL,7035.KL,7103.KL,7161.KL,7187.KL,7197.KL,7230.KL,7246.KL,7252.KL,7501.KL,7609.KL,8117.KL,9407.KL
2026-01-02,6.5,29.272454229811682,16.33561466063239,0.6700000166893005,0.7200000286102295,1.8799999952316284,1.600000023841858,0.5584174394607544,0.9049999713897705,5.598590220345665,0.7049999833106995,2.630000114440918,1.663741946220398,2.5299999713897705,2.67950439453125,6.300000190734863,2.0399999618530273,1.450331097964326,1.2000000476837158,2.6700000762939453,2.6226105216921103,1.1786667108535767,1.600000023841858,1.8899999856948853,1.3923749923706055,0.9753431431970009,0.5649999976158142,1.0299999713897705,1.9199999570846558,3.440000057220459
2026-01-05,6.46999979019165,29.467605661327497,16.16038127500185,0.675000011920929,0.7200000286102295,1.8700000047683716,1.590000033378601,0.5584174766697527,0.8949999809265137,5.6284762066692355,0.7099999785423279,2.6500000953674316,1.6637418506572395,2.4800000190734863,2.689465284347534,6.25,2.0899999141693115,1.4793377354877981,1.1799999475479126,2.6600000858306885,2.6719077904749677,1.1786667108535767,1.600000023841858,1.8700000047683716,1.3923749923706055,0.9703921675682068,0.5299999713897705,1.0299999713897705,1.850000023841858,3.440000057220459
2026-01-06,6.480000019073486,29.291968908076367,15.809915355917587,0.675000011920929,0.7200000286102295,1.8600000143051147,1.6100000143051147,0.568300924580556,0.8999999761581421,5.72809525017576,0.7250000238418579,2.759999990463257,1.6538387294852974,2.4600000381469727,2.689465451672751,6.199999809265137,2.180000066757202,1.4793377732322195,1.2699999809265137,2.6600000858306885,2.5930323876891626,1.1786667108535767,1.600000023841858,1.940000057220459,1.392375043577381,0.9753431126669146,0.5899999737739563,1.0299999713897705,1.8600000143051147,3.430000066757202
2026-01-07,6.449999809265137,29.662752901259438,15.848856343991029,0.6700000166893005,0.7099999785423279,1.8600000143051147,1.6299999952316284,0.5435922480022017,0.8999999761581421,5.608552715809692,0.7149999737739563,2.740000009536743,1.6637418995003086,2.440000057220459,2.669543504714966,6.179999828338623,2.200000047683716,1.4890065952309666,1.2799999713897705,2.700000047683716,2.593032236700174,1.1687618494033813,1.600000023841858,1.9700000286102295,1.3627500534057617,1.0000980002622981,0.5849999785423279,1.0299999713897705,1.8300000429153442,3.450000047683716
2026-01-08,6.380000114440918,30.736076268147887,16.218791961669922,0.675000011920929,0.7200000286102295,1.909999966621399,1.6100000143051147,0.5683009624481201,0.8999999761581421,5.558743000030518,0.7149999737739563,2.690000057220459,1.6835484977462545,2.4000000953674316,2.669543504714966,6.159999847412109,2.1600000858306885,1.4600000381469727,1.2699999809265137,2.6600000858306885,2.67190779644372,1.1687618494033813,1.600000023841858,1.9299999475479126,1.3627500534057617,1.0000979900360107,0.6050000190734863,1.0099999904632568,1.8300000429153442,3.450000047683716
2026-01-09,6.449999809265137,32.355820389983236,16.082500750541396,0.675000011920929,0.6949999928474426,1.909999966621399,1.649999976158142,0.5683009471009541,0.8999999761581421,5.558742896076773,0.7099999785423279,2.7200000286102295,1.6538386830433036,2.4000000953674316,2.669543338629194,6.199999809265137,2.180000066757202,1.450331135176748,1.2699999809265137,2.7200000286102295,2.681767225265503,1.1786667108535767,1.6200000047683716,1.9299999475479126,1.3627500534057617,1.009999940983649,0.6100000143051147,1.0499999523162842,1.8300000429153442,3.450000047683716
2026-01-12,6.460000038146973,32.23872946998454,16.199321177361508,0.6700000166893005,0.6949999928474426,1.909999966621399,1.649999976158142,0.5485339571697359,0.9150000214576721,5.578666687011719,0.7200000286102295,2.7100000381469727,1.6835484745484721,2.4000000953674316,2.6894655095537456,6.239999771118164,2.2200000286102295,1.4503310918807983,1.2999999523162842,2.680000066757202,2.6817671688799294,1.1786667108535767,1.6200000047683716,1.9800000190734863,1.3627500534057617,1.0099999209301773,0.6100000143051147,1.0499999523162842,1.850000023841858,3.450000047683716
2026-01-13,6.489999771118164,34.151197882259595,16.218791622388167,0.6949999928474426,0.6850000023841858,1.9199999570846558,1.659999966621399,0.5386505126953125,0.9150000214576721,5.608552352865084,0.7149999737739563,2.930000066757202,1.673645257949829,2.309999942779541,2.719348264099608,6.21999979019165,2.180000066757202,1.4503311728820496,1.340000033378601,2.819999933242798,2.642329349699855,1.1588571071624756,1.6200000047683716,2.0199999809265137,1.3627500534057617,1.0099999209301773,0.6200000047683716,1.0299999713897705,1.8799999952316284,3.450000047683716
2026-01-14,6.550000190734863,33.155931280049714,16.647139654826272,0.6949999928474426,0.6700000166893005,1.9299999475479126,1.659999966621399,0.5386505126953125,0.9100000262260437,5.628476142883301,0.7049999833106995,2.950000047683716,1.673645257949829,2.319999933242798,2.7392703519741914,6.239999771118164,2.180000066757202,1.4599999566057136,1.3200000524520874,3.009999990463257,2.6423293783534008,1.1588571071624756,1.6200000047683716,2.009999990463257,1.3627500702015,1.0199019208797682,0.6299999952316284,1.0499999523162842,1.840000033378601,3.450000047683716
2026-01-15,6.510000228881836,32.66805763528532,16.510847091674805,0.6949999928474426,0.675000011920929,1.9700000286102295,1.690000057220459,0.5386504719989653,0.9049999713897705,5.608552403385592,0.7149999737739563,3.049999952316284,1.6736452103560655,2.369999885559082,2.7890752199669624,6.199999809265137,2.2799999713897705,1.4406622208662605,1.340000033378601,3.0399999618530273,2.6817671763999447,1.1588570969734007,1.6100000143051147,2.049999952316284,1.3627500534057617,1.0298038224322492,0.6349999904632568,1.0399999618530273,1.840000033378601,3.440000057220459
